Title,Company,Location,Salary,Job Type,Description,Date Posted
Retail Sales Associate Full Time,PetSmart,"St. John's, NL",Full-time,Morning shift,"You’ll welcome them (and their pets!) to the store, facilitate an easy check out process as a cashier and ensure that they found everything they needed.   ","Posted
Posted 30+ days ago"
Disability Case Manager,Canada Life Assurance Company,"St. John's, NL","$48,100–$72,200 a year",Full-time,"Respond to all telephone inquiries made by the applicant, physicians, lawyers, regarding the assessment of the claims.   ","Posted
Posted 30+ days ago"
Meal Advisor,M&M Food Market,"St. John's, NL",$15 an hour,"Part-time
+1","Their work goes beyond suggesting meal ideas, to interacting with customers and creating meaningful connections with each person who visits the store.   ","Employer
Active 4 days ago"
Volunteer Gift Shop St. Clare's (Mon-Fri/days),NL Health Services,"St. John's, NL",Full-time,Monday to Friday,""" Count cash register float to confirm it is balanced. "" Serve customers with respect and pleasant attitude. Orientation: An orientation to Eastern Health will…  ","Posted
Posted 30+ days ago"
Lead Customer Service Representative,Circle K,"St. John's, NL",N/A,N/A,"You will greet customers, run the cash register, make purchase suggestions and sometimes work with our food program. Years of service Recognition program.   ","Posted
Posted 30+ days ago"
Emergency Housing Officer,Newfoundland & Labrador Housing Corporation,"St. John's, NL",$27.25–$30.27 an hour,On call,"Proof of a valid class 5 driver's license. The Department also provides oversight of the corporation's eviction prevention framework, tenant and community…   ","Posted
Posted 26 days ago"
Project Administrative Assistant,Tristar Mechanical Ltd.,"St. John's, NL","$720–$1,120 a week",Full-time,"Have a valid driver’s license. Ability to read and interpret bid documents, project drawings and specifications an asset.  ","Posted
Posted 3 days ago"
Program and Policy Development Specialist,WorkplaceNL,"St. John's, NL",Full-time,N/A,"Five years' experience in program analysis and development, application of evidence, preferably with knowledge of workers' compensation principles as well as…   ","Posted
Posted 9 days ago"
Pet Groomer Trainee,PetSmart,"St. John's, NL",N/A,N/A,"Petsmart offers a training program that will set you up for success. As a Groomer Trainee in our Grooming Salon, you’ll have the opportunity to build personal…   ","Posted
Posted 30+ days ago"
Supply Chain Data Analyst,Bausch + Lomb,Newfoundland and Labrador,"Full-time
+1",N/A,"Bachelor's degree in Supply Chain Management, Data Analytics, or a related field. Assist in developing and implementing strategies to optimize inventory…   ","Posted
Posted 30+ days ago"
Delivery Driver/ Helper,Island Furniture,"Mount Pearl, NL",$18 an hour,Full-time,A valid drivers license and letter of conduct are required. We are looking for a Delivery Driver/Helper to deliver furniture to customers homes and to help with…  ,"Posted
Posted 30+ days ago"
Environmental Health and Safety Specialist,Komatsu Mining,"Remote in Wabush, NL",Full-time,"Monday to Friday
+1","Reporting to the Senior EHS Manager - Canada, the EHS Specialist is responsible for the development, delivery, and oversight of Komatsu's Environment, Health…   ","Posted
Posted 30+ days ago"
"Office & Titles Clerk (Temporary, Part Time)",OPENLANE,"Paradise, NL",Part-time,Monday to Friday,"Maintain a knowledge of provincial and regulations as relate to vehicle titles. Check, acknowledge and respond to incoming messages.   ","Posted
Posted 17 days ago"
Personal Care Attendant,NL Health Services,"St. John's, NL",$24 an hour,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…  ","Posted
Today"
Systems Administrator,Kraken Robotic Systems Inc.,"Mount Pearl, NL",Full-time,N/A,Kraken Robotics offers a unique career opportunity to work with an internationally recognized leader in ocean technology that is harnessing our world class…  ,"Posted
Posted 30 days ago"
"attendant, funeral home",Carnell's Funeral Home Ltd,"St. John's, NL",$18–$22 an hour,"Part-time
+1","Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years. Assist clients/guests with special needs.  ","Posted
Posted 11 days ago"
Technician Operator,Irving Oil,"St. John's, NL",Full-time,N/A,"We are committed to being part of the solution, in providing the safe and reliable energy that people need, while taking concrete steps to evolve our business…   ","Posted
Posted 30+ days ago"
Administrative Support Specialist,Technical Rope & Rescue Inc.,"Paradise, NL",Full-time,N/A,"If you are a motivated and organized individual who is ready to take on this multifaceted administrative role, please submit your resume and a cover letter in…  ","Posted
Posted 23 days ago"
Detailers/Rust-Proofing Technicians,Pit Crew,"St. John's, NL",N/A,N/A,"You use specialized products and tools to bring the vehicle back to a ""just as new"" condition. You clean rims and tires. You wash & wax the exterior.  ","Posted
Posted 30+ days ago"
Food Counter Attendant/Cashier,The Caf,"Paradise, NL",From $15 an hour,Full-time,Must have own transportation or living close to the arena as buses are limited. May receive payment for food items purchased. As a Food Counter Attendant.  ,"Employer
Active 8 days ago"
Lead Hand,Intelcom,"Mount Pearl, NL",Full-time,N/A,"Intelcom is a company committed to the continuous improvement and optimization of its services to its employees, partners and customers.   ","Posted
Posted 2 days ago"
Cook Helper,NL Health Services,"Forteau, NL",$19.66–$21.18 an hour,Part-time,""" Prepares regular meals for special diet patients; The primary purpose of this position is to perform a variety of cooking tasks at the Labrador South Health…  ","Posted
Posted 16 days ago"
aircraft refueler,Woodward's Oil Limited,"St. John's, NL",$17–$21 an hour,"Full-time
+1",Education: Secondary (high) school graduation certificate. Driver's validity licence check. Drive and operate ramp-servicing vehicles and equipment.   ,"Posted
Posted 30+ days ago"
"processing plant worker, fish",Variety Foods Ltd,"Harbour Main, NL",$16.50 an hour,Casual,"Education: No degree, certificate or diploma. Cut, clean and trim fish or seafood prior to marketing or further processing. Fish cleaning and cutting machine.   ","Posted
Posted 9 days ago"
Seasonal Retail Sales Associate-AVALON MALL,Bath & Body Works,"St. John's, NL",Part-time,Weekends as needed,"In this role, you will be the face of Bath & Body Works — understanding our customers’ needs and helping them find the best products for themselves and others.   ","Posted
Posted 30+ days ago"
Seasonal Associate,PetSmart,"St. John's, NL",Seasonal,Morning shift,"Working at PetSmart is not a job, it’s a community of those who work together for the love of pets. You’ll welcome them (and their pets!) to the store,…   ","Posted
Posted 30+ days ago"
"AMO Technician/Welding Brazier (CWI) - NL, CA",Baker Hughes,"Mount Pearl, NL",Full-time,"Monday to Friday
+4","Knowledge of workshop equipment and their uses (examples: air compressor, cleaning equipment, grease gun, hoist, jack, lifting equipment, measuring equipment,…   ","Posted
Posted 11 days ago"
Associate Financial Advisor,CIBC,"St. John's, NL",Full-time,Weekends as needed,"We work to recognize you in meaningful, personalized ways including a competitive salary, incentive pay, banking benefits, a benefits program*, defined benefit…   ","Posted
Posted 30+ days ago"
Carnegie Learning Canada Talent Community,Carnegie Learning,"St. John's, NL",N/A,N/A,"We’re driven to find new, better ways to support teachers and reach more students, so we put our leading cognitive science research and real-world insights into…  ","Posted
Posted 15 days ago"
Reservations Assistant,Maxxim Vacations,"St. John's, NL",Full-time,Monday to Friday,We are proud to be the largest customized tour operator in Newfoundland and Labrador and are looking for someone with a passion for our culture and a desire to…  ,"Employer
Active 4 days ago"
Room Attendant,Delta St. John's Westmont Hospitality Group,"St. John's, NL",$14.69–$18.45 an hour,Casual,"Shut off all lights, TVs, and air conditioners when leaving room. Must be able to speak, read, write, and understand the primary language(s) used by guests…  ","Posted
Posted 30+ days ago"
Safety Officer,Puglisevich Canada,"St. John's, NL",N/A,N/A,"We encourage applications from Indigenous peoples, visible minorities, women, and persons with disabilities having the capability, qualifications and experience…   ","Posted
Posted 20 days ago"
Labourer,Heave Away Waste Management,"Mount Pearl, NL",From $20 an hour,Full-time,Valid Class 5 license with a clean drivers abstract is mandatory. Responsible for day to day monitoring or assigned project. Application deadline: 2023-11-17.  ,"Employer
Active 15 days ago"
Line Cook/Prep Cook,JAG Hotel,"St. John's, NL",From $17 an hour,Part-time,"Works with coworkers, managers, and customers when required professionally to support the overall smooth flow of operation and to increase customer satisfaction…   ","Employer
Active 8 days ago"
Administrative Officer IA,Eastern Health Canada,Remote in Newfoundland and Labrador,$25.87–$28.65 an hour,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…   ","Posted
Posted 3 days ago"
Home Support Worker,Comfort Home Care,"Conception Bay South, NL",From $16.95 an hour,"Full-time
+2","For further information please call 834-4458. Part time and full time and casual call-in employment available. Job Types: Casual, Part-time, Full-time.","Employer
Active 10 days ago"
Bulk Truck Operator,Dyno Nobel,"St. John's, NL",N/A,N/A,"Class 1 or Class 3 - DZ or AZ Driver’s license. As the Bulk Truck Operator, you will operate all types of Dyno Nobel trucks and specialty equipment to prepare…   ","Posted
Posted 30+ days ago"
Sales Representative,Telus,"St. John's, NL","Full-time
+1","Day shift
+1",Contact existing and prospective customers by both telephone and text message. Our social impact is using our world-leading technology to create meaningful…   ,"Posted
Posted 30+ days ago"
Uncertified Personal Care Assistant (Full Time),Revera Inc.,"St. John's, NL",Full-time,N/A,Working towards completing Personal Support Worker program (or provincial equivalent certificate program) or any other healthcare program nice to have;   ,"Posted
Posted 30+ days ago"
Brand Coordinator,Alzheimer Society of Newfoundland & Labrador,"Mount Pearl, NL",$18 an hour,Full-time,Creating social media post and updating the website with new resources. Developing Resource Tool Kits for programs and services and working with the community…  ,"Posted
Posted 4 days ago"
Seasonal Retail Sales Associate,Old Navy,"St. John's, NL",Seasonal,N/A,Acknowledge and assist customers; locate merchandise efficiently using various methods; answer questions quickly and accurately.   ,"Posted
Posted 30+ days ago"
Clerk A,Newfoundland & Labrador Housing Corporation,"Corner Brook, NL",$26.63 an hour,N/A,"This position is responsible for a wide range of clerical duties for the region, including typing correspondence and documents, creating and maintaining…   ","Posted
Posted 30+ days ago"
Counter Sales and Warehouse staff,Enertrak,"Mount Pearl, NL",From $22 an hour,Full-time,"Interacting with customers and vendors. With over 80 employees – Engineers, Technicians and other qualified personnel - we have current employment opportunities…  ","Employer
Active 4 days ago"
manufacturing manager,EPIC Dental Specialist,"St. John's, NL",$43.43 an hour,"Full-time
+1","Hire, supervise and train or oversee training of employees in the use of new equipment or production techniques. Hours: 35 to 40 hours per week.  ","Posted
Posted 30+ days ago"
Custodian - Temporary hours week,Newfoundland & Labrador English School District,"St. John's, NL",$20.05–$21.64 an hour,Full-time,A Custodial Worker is responsible for providing daily janitorial duties through an established schedule to ensure that the schools are maintained at the highest…   ,"Posted
Posted 4 days ago"
Data Science Graduate (Canada),Novo Nordisk,Canada,Full-time,N/A,No more than 1 year of full-time work experience after completing your Master’s degree (when hired). Recent master's degree (from 2023 or 2024) in either Data…,"Employer
Active 17 days ago"
Occupational Health and Safety Advisor,Association for New Canadians,"St. John's, NL",Full-time,Monday to Friday,"Develop and maintain emergency response plans and procedures, including evacuation plans, first aid protocols, and communication protocol.   ","Posted
Posted 30+ days ago"
Watch Keeping Mate COC,Seabase Newfoundland Limited,"St. John's, NL",Full-time,12 hour shift,Watchkeeping Mate Unlimited COC or higher certificate of competency issued by Transport Canada. Having a thorough understanding of precautions and procedures…  ,"Employer
Active 9 days ago"
Seasonal Retail Sales Associate,Gap,"St. John's, NL",Seasonal,N/A,Acknowledge and assist customers; locate merchandise efficiently using various methods; answer questions quickly and accurately.   ,"Posted
Posted 30+ days ago"
sales order clerk,Variety Foods Ltd,"Mount Pearl, NL",$17.00–$17.50 an hour,"Full-time
+1","Greet customers and discuss type, quality and quantity of merchandise or services sought for purchase, rental or lease. Hours: 30 to 40 hours per week.   ","Posted
Posted 9 days ago"
Part-Time Sales Associate,Journeys,"St. John's, NL",Part-time,Weekends as needed,"Benefits offered may include medical, vision, and dental insurance, a vacation package, and community service hours but may also vary by state, province, or…   ","Posted
Posted 12 days ago"
Customer Service Representative,Kuehne+Nagel,"Hybrid remote in St. John's, NL","Full-time
+1",Monday to Friday,Respond knowledgeably and courteously to incoming calls and customer inquiries. The Customer Service Representative is accountable for maintaining excellent…   ,"Posted
Posted 8 days ago"
Cashier,tilt house bakery,"Portugal Cove-st Philips, NL",From $15 an hour,Full-time,"Portugal Cove-st Philips, NL: reliably commute or plan to relocate before starting work (preferred). Customer service: 1 year (preferred).   ","Posted
Posted 30+ days ago"
Assistant Store Manager,Mushuau Innu General Store,"Natuashish, NL",Full-time,Monday to Friday,Assist in the implementation of strategic or annual plans for the store and hotel to meet defined expectations. Program and Service Delivery Management*.,"Employer
Active 4 days ago"
Fresh Food Store Associate,Walmart Canada,"St. John's, NL",Full-time,N/A,Working as a Meat Associate at Walmart Canada is a great way to develop your skills in the retail industry. A Meat Associate provides exemplary customer service…   ,"Posted
Posted 30+ days ago"
Student Assistant - Temporary h/d,Newfoundland & Labrador English School District,"Conception Bay South, NL",$24.06–$26.63 an hour,N/A,Experience working with children either in a work or volunteer capacity. The role of a student assistant is student specific and will vary from school to school…   ,"Posted
Posted 4 days ago"
Administrative Officer IA,NL Health Services,"Remote in St. John's, NL",$28 an hour,Full-time,"Constantly sits to a desk performing paper/computer work, making or answering a telephone or responding to emails; occasionally walks or stands to observe or to…  ","Posted
Posted 2 days ago"
retail shelf stocker,JECAnaka Investments Inc,"Labrador City, NL",$17 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Hours: 32 to 40 hours per week.  ","Posted
Posted 28 days ago"
customer service agent,Frozen in Time Ltd.,"Whitbourne, NL",$15–$22 an hour,"Full-time
+1",Answer inquiries and provide information to customers. Education: Secondary (high) school graduation certificate. Address customers' complaints or concerns.  ,"Posted
Posted 14 days ago"
Hotel Porter,Comfort Hotel,"St. John's, NL",$16.21–$17.21 an hour,Full-time,"Must be over 21 and possess a class 4 drivers license. This includes a clean vehicle, assisting with bags, opening and closing doors, knowing the forecast and…  ","Employer
Active 5 days ago"
Responsable de restaurant,McDonald's,"Labrador City, NL",N/A,N/A,"Maintenir un environnement de travail propre, sain et sécuritaire pour les clients, vos collègues et vous-même. Votre style et votre expérience.   ","Posted
Posted 30+ days ago"
"clerk, front desk - hotel",Nain Hotel Ltd.,"Nain, NL",$14.50 an hour,"Full-time
+1","Answer telephone and relay telephone calls and messages. Take, cancel and change room reservations. Experience: 7 months to less than 1 year.  ","Posted
Posted 30+ days ago"
Little Burgundy Stock Coordinator,Little Burgundy,"St. John's, NL",Full-time,N/A,"Ensure the proper handling of all store inventories, merchandise, received or transferred. Verify accuracy of incoming/outgoing product.   ","Posted
Posted 30+ days ago"
Shuttle Driver,Steele Mazda St.John's,"St. John's, NL",Full-time,N/A,Safely and professionally driving our customers to and from their destination. You can expect competitive compensation packages with flexible health and dental…  ,"Employer
Active 7 days ago"
FULLTIME AND PARTIME,Wendy's,"St. John's, NL",Full-time,N/A,"Cette opportunité d'emploi est avec l'un de nos nombreux franchisés. WE WILL PROVIDE ON JOB TRAINING,FREE UNIFORMS,DISCOUNTED MEALS AND FLEXIBLE SCHEDULING IN A…   ","Posted
Posted 30+ days ago"
Snow Shoveller - Grounds Maintenance,Tri Star Excavating Inc.,"St. John's, NL",$17.25 an hour,"Full-time
+1",Ability to work in cold weather conditions for extended periods of time. Clearing snow from walkways and parking lots using shovels and/or snow blowers.  ,"Employer
Active 17 days ago"
Warehouse Worker/Delivery Driver,Carol Wabush Distributing Company Limited,"Labrador City, NL",From $19 an hour,"Full-time
+1","Fill order, delivery, customer service skills, req driver license and clear rnc abstract. Job Types: Permanent, Full-time.  ","Employer
Active 10 days ago"
Member Service Advisor I - St. John's/CBS/Mount Pearl,Newfoundland and Labrador Credit Union,"Conception Bay South, NL",Part-time,N/A,We have an open position for a part-time Member Service Advisor in St. John’s metro area.   ,"Posted
Posted 30+ days ago"
"Store Manager, Assistant Manager",Levi's - Avalon Mall,"St. John's, NL",From $16 an hour,Full-time,"The manager, with a good sense of organization, is in charge of leading the team to achieve the store's sales objectives, while being involved in recruitment,…  ","Employer
Active 4 days ago"
housekeeping attendant,Nain Hotel Ltd.,"Nain, NL",$16.50 an hour,"Full-time
+1","Vacuum carpeting, area rugs, draperies and upholstered furniture. Experience: 7 months to less than 1 year. Sweep, mop, wash and polish floors.  ","Posted
Posted 30+ days ago"
Assistant Store Manager,Mushuau Innu General Store,"Natuashish, NL",Full-time,Monday to Friday,Assist in the implementation of strategic or annual plans for the store and hotel to meet defined expectations. Program and Service Delivery Management*.,"Employer
Active 4 days ago"
Event Coordinator,The Gypsy Tea Room,"St. John's, NL",$18–$20 an hour,"Full-time
+3",Manage event budgets and ensure all expenses are within the allocated budget. Knowledge of hotel and hospitality industry practices and trends.   ,"Employer
Active 8 days ago"
dishwasher,Spirit of Newfoundland Productions LTD,"St. John's, NL",$15 an hour,"Part-time
+1","Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas. Handle and store cleaning products. Up to 23 kg (50 lbs).  ","Posted
Posted 6 days ago"
Merchandiser St. John PT,Coca-Cola Canada Bottling Limited,"St. John's, NL",$16 an hour,Part-time,A valid driver’s license with a clean driving record with no major violations over the last three (3) years. Must have current vehicle liability insurance.   ,"Posted
Posted 18 days ago"
Legal Assistant/Receptionist,Dunne & Baker Law,"Mount Pearl, NL",Full-time,N/A,"The successful applicant must possess strong organizational skills, have proficient computer skills, be efficient and self-motivated.  ","Posted
Posted 30+ days ago"
light duty cleaner,PHILROBBEN JANITORIAL LIMITED,"St. John's, NL",$15 an hour,"Full-time
+2","Education: No degree, certificate or diploma. Wash windows, walls and ceilings. Disinfect operating rooms and other areas. Clean changing rooms and showers.  ","Posted
Posted 30+ days ago"
"Sales Associate / Jewelry Consultant - Peoples Jewellers - Avalon Mall - St. John's, NL",Signet Jewelers,"St. John's, NL",Full-time,"Weekends as needed
+1","Training — Associate Training System, Management Training System, District Manager in Training, career development and more. Your role at Peoples Jewellers:   ","Posted
Posted 30+ days ago"
Seasonal Retail Sales Associate-AVALON MALL,Bath & Body Works,"St. John's, NL",Part-time,Weekends as needed,"In this role, you will be the face of Bath & Body Works — understanding our customers’ needs and helping them find the best products for themselves and others.   ","Posted
Posted 30+ days ago"
Service Advisor,Capital Mitsubishi,"St. John's, NL",$19–$21 an hour,"Full-time
+1",Work with customers to determine problems with a vehicle and provide technicians with accurate repair descriptions; High School Diploma or equivalent;  ,"Employer
Active 4 days ago"
Bartender/Coach,Jack Axes Inc,"St. John's, NL",From $15 an hour,Part-time,The job is easy going but requires an outgoing personality as you will be working with people constantly. We are looking for some fun loving weirdos to join out…  ,"Employer
Active 22 days ago"
marketing coordinator,MAJES TEA INC,"St. John's, NL",$25–$30 an hour,"Full-time
+1","Conduct social or economic surveys on local, regional, or international areas to assess development of potential and future trends.  ","Posted
Posted 8 days ago"
Project Planner,Genoa Design International,"Mount Pearl, NL",Full-time,N/A,"Communicate effectively, both verbally and in writing, with diverse groups such as customers, vendors, and officials at all levels. And never, ever stand still.   ","Posted
Posted 10 days ago"
Commercial Services Officer,Atlantic Edge Credit Union,"Mount Pearl, NL","Full-time
+1",Monday to Friday,"The successful candidate must be legally eligible to work in Canada, and where applicable have a valid work or study permit. What’s in it for you?*.  ","Employer
Active 10 days ago"
Lead Customer Service Representative,Circle K,"St. John's, NL",N/A,N/A,"You will greet customers, run the cash register, make purchase suggestions and sometimes work with our food program. Years of service Recognition program.   ","Posted
Posted 30+ days ago"
ROV Technician,Scanmudring Canada Inc.,"St. John's, NL",N/A,N/A,"From field planning to decommissioning, Scanmudring is a full-service provider offering subsea intervention, and construction skills and technology to cover the…  ","Posted
Posted 8 days ago"
"Partenaire d’affaires – Santé, sûreté et sécurité (SSS) / Health & Safety Business Partner",Rio Tinto,"Labrador City, NL",N/A,N/A,"Avec une équipe de plus de 2 700 employés, nous nous engageons à procurer de la valeur et à apporter une continuité à nos clients, à nos employés, à nos…","Posted
Posted 30+ days ago"
Administrative Officer IA,Eastern Health Canada,Remote in Newfoundland and Labrador,$25.87–$28.65 an hour,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…   ","Posted
Posted 3 days ago"
Receptionist/Administrator,Orthodontic Associates,"St. John's, NL",Full-time,Monday to Friday,The main role of this receptionist is to serve our patients & team in a fun and friendly manner. Dental experience is beneficial but an attitude to provide…  ,"Employer
Active 26 days ago"
Embroidery Trimmer,Imprint Specialty Promotions LTD.,"St. John's, NL",From $16.50 an hour,"Full-time
+1","St. John's, NL A1A 5A1: reliably commute or plan to relocate before starting work (required). You must work well in a team environment and pay close attention…  ","Employer
Active 5 days ago"
Mover/Driver,Movers NL,"St. John's, NL",$18–$22 an hour,"Full-time
+5",Delivery driver: 3 years (required). We're especially looking for movers who can work on their own initiative and have an eye for detail.  ,"Posted
Posted 1 day ago"
Bartender,Stanley's Pub,"St. John's, NL",From $15 an hour,Part-time,"Successful candidate will be expected to take part in social media posts to inform and engage guest and improve the experience at Stanley’s Pub, with your…  ","Employer
Active 24 days ago"
Commercial Cleaner,GDI Services (Canada) LP,"St. John's, NL",Full-time,N/A,"Spot cleans walls, partitions, light switches, and doors. Daily cleaning of washrooms, offices, and lunchrooms. Empties and cleans garbage cans.   ","Employer
Active 8 days ago"
Game Project Manager,PearFiction Studios,"Motion, NL",N/A,N/A,"Deliver games on time and on budget, by optimizing the team development process and performance. Liaise with the Production Manager to coordinate the quality…  ","Posted
Posted 30+ days ago"
Event Coordinator,The Gypsy Tea Room,"St. John's, NL",$18–$20 an hour,"Full-time
+3",Manage event budgets and ensure all expenses are within the allocated budget. Knowledge of hotel and hospitality industry practices and trends.   ,"Employer
Active 8 days ago"
Fitness Instructor,City of St. John's,"St. John's, NL",$25 an hour,Casual,"Hours assigned based on program schedule. Fitness instructors lead, instruct, and motivate patrons in scheduled group exercise classes.   ","Posted
Posted 30+ days ago"
Sales Associate - Avalon Mall Annex (Seasonal),The Children's Place,"St. John's, NL",Part-time,N/A,Signale rapidement à l'équipe de direction les besoins en matière de maintenance et de matériel pour offrir aux clients et associés un environnement propre et…   ,"Posted
Posted 30+ days ago"
Little Burgundy Stock Coordinator,Little Burgundy,"St. John's, NL",Full-time,N/A,"Ensure the proper handling of all store inventories, merchandise, received or transferred. Verify accuracy of incoming/outgoing product.   ","Posted
Posted 30+ days ago"
Member Service Advisor I - St. John's/CBS/Mount Pearl,Newfoundland and Labrador Credit Union,"Conception Bay South, NL",Part-time,N/A,We have an open position for a part-time Member Service Advisor in St. John’s metro area.   ,"Posted
Posted 30+ days ago"
Systems Control Technician,Puglisevich Canada,"St. John's, NL","Full-time
+1",N/A,Valid Technical certificate from a recognized body. Maintain a preventative maintenance programme in accordance with the Company’s repair and preventative…   ,"Posted
Posted 20 days ago"
Fresh Food Store Associate,Walmart Canada,"St. John's, NL",Full-time,N/A,Working as a Meat Associate at Walmart Canada is a great way to develop your skills in the retail industry. A Meat Associate provides exemplary customer service…   ,"Posted
Posted 30+ days ago"
Visitor Experience Manager II,Parks Canada,"Happy Valley-Goose Bay, NL","$94,406–$102,060 a year",Full-time,Possession of a valid driver's license. Parks Canada is seeking a Visitor Experience Manager to lead the visitor experience and community engagement program for…   ,"Posted
Posted 8 days ago"
Local Company Tractor Trailer Driver,Day & Ross,"Mount Pearl, NL","From $62,000 a year",Full-time,"We plan our routes to make sure our truck drivers can enjoy reliable home time. Car Rental, Hotel, Flights, Gas, and other travel discounts.","Posted
Posted 30+ days ago"
Ground Handler (Full time / Part time),Cargojet Airways Ltd.,"St. John's, NL",Part-time,"Weekends as needed
+1",Willingness to take direction with a keen interest in further development within the local operation. Safe and timely processing of Cargo and aircraft loading…   ,"Posted
Posted 30+ days ago"
Ground Handler (Full time / Part time),Cargojet Airways Ltd.,"St. John's, NL",Part-time,"Weekends as needed
+1",Willingness to take direction with a keen interest in further development within the local operation. Safe and timely processing of Cargo and aircraft loading…   ,"Posted
Posted 30+ days ago"
E-commerce Associate - Corner Brook,Canadian Tire,"Corner Brook, NL",Part-time,N/A,"The E-commerce Associate role consists of processing online customer orders and handling customer inquiries, product returns, product exchanges and sales…   ","Posted
Posted 4 days ago"
Cleaner/Content Processing,ServiceMaster Restore of St. John's,"St. John's, NL",Full-time,N/A,Cleaning Contents from damages caused by fire and water damage. Cleaning properties after damages caused by fire and water damage as well as construction…   ,"Posted
Posted 10 days ago"
"Account Manager (CWI) - St John's / Mt Pearl, Newfoundland, Canada",Baker Hughes,"Mount Pearl, NL",Full-time,N/A,Our Completions Team partners with on-site operators and customers to provide support and guidance to ensure the capacity and value of the well is maximized to…   ,"Posted
Posted 12 days ago"
Trades Worker II,NL Health Services,"St. John's, NL",$29 an hour,Full-time,"This position operates high pressure steam plants and auxiliary equipment such as steam boilers, hydronic boilers, air handling units, cooling systems, related…  ","Posted
Today"
kitchen helper,Good fortune Food Industry Inc.,"St. John's, NL",$15 an hour,"Full-time
+1","Receive, unpack and store supplies in refrigerators, freezers, cupboards and other storage areas. Clean and sanitize items such as dishwasher mats, carts and…  ","Posted
Posted 30+ days ago"
press operator - printing,Zein Press & Printed Packaging,"St. John's, NL",$20 an hour,"Full-time
+1","Review job orders to determine job specifications such as production time, colour sequence and quantities required, and advise press crew of these…  ","Posted
Posted 4 days ago"
Hospital Admitting Clerk I,NL Health Services,"St. John's, NL",$23 an hour,Full-time,Eastern Health requires internal employees applying on unionized clerical/administrative positions to have their educational documents on file and any required…  ,"Posted
Posted 4 days ago"
Aircraft Fueling Services Operator,Inland Group,"St. John's, NL",$19 an hour,Full-time,Valid driver’s license and a driving record that meets Company insurance standards; Valid certificate in the Transportation of dangerous goods (TDG) and…   ,"Posted
Posted 9 days ago"
Mover/Driver,Movers NL,"St. John's, NL",$18–$22 an hour,"Full-time
+5",Delivery driver: 3 years (required). We're especially looking for movers who can work on their own initiative and have an eye for detail.  ,"Posted
Posted 1 day ago"
Customer Service Representative,BMO Financial Group,"Paradise, NL",Part-time,N/A,No prior experience necessary; post-secondary degree or certification in related field of study is desirable. Reviews customer profiles and engages customers in…   ,"Posted
Posted 4 days ago"
General Labourer - Shoveler,Supreme Services - NL Property Maintenance Ltd.,"Mount Pearl, NL",$17 an hour,"Full-time
+1","Must be available to work flexible hours including early mornings or late nights, 7 days per week, as per weather conditions. Job Types: Part-time, Full-time.  ","Employer
Active 19 days ago"
Part Time Temporary Sales Associate - TOMMY HILFIGER,PVH,"St. John's, NL",Part-time,"Weekends as needed
+1","Ability to communicate with customers and store personnel; maneuver around sales floor, stock room, and office; lift heavy objects, stretch, and bend; operate…   ","Posted
Posted 30+ days ago"
Line Cook,Cineplex,"St. John's, NL",Part-time,N/A,"As part of Cineplex Entertainment’s standard recruitment process, suitable candidate(s) will be required to undergo pre-employment screening as a condition of…   ","Posted
Posted 6 days ago"
Word Processing Equipment Operator I,NL Health Services,"St. John's, NL",$22 an hour,Part-time,"The Word Processing Equipment Operator (WPEO) manages appointments for EFAP coordinators, responds to employee calls and emails, and fields and responds to…  ","Posted
Posted 30+ days ago"
Red Seal Crane Operator,Integrated Logistics,Newfoundland and Labrador,"Full-time
+1","Day shift
+3","Participate in Integrated Logistics flow to work program which sees workers move between tasks, equipment pieces and labour assignments throughout the shift and…","Employer
Active 4 days ago"
Parts Advisor,Steele Honda,"St. John's, NL",Full-time,N/A,"Excellent customer service skills and a professional telephone manner. You will be working directly with our customers, suppliers, and technicians, providing…   ","Employer
Active 10 days ago"
Seniors Navigator - St. John's Area,Spinal Cord Injury (NL),"St. John's, NL",N/A,N/A, ,"Posted
Posted 30+ days ago"
Operations Manager,Association for New Canadians,"St. John's, NL",Full-time,Monday to Friday,Valid class 5 driver’s license and daily access to a reliable vehicle is required. Experienced in budget planning and analysis.   ,"Posted
Posted 1 day ago"
"Manager of Recreation, Wellness and Resident, Employee Engagement",Tiffany Village Retirement Residence Partnership,"St. John's, NL","From $68,000 a year",Full-time,"The Manager Recreation, Wellness, and Resident and Employee Engagement will develop strategies to improve engagement, and manage programs designed to foster…   ","Employer
Active 8 days ago"
Control Technician - Operator – 3rd Class,Braya Renewable Fuels (Newfoundland),"Come By Chance, NL",Full-time,N/A,Perform other administrative tasks such as recording test results and other data about the plant's operation. Proven leadership and problem-solving capabilities…  ,"Posted
Posted 2 days ago"
