Title,Company,Location,Salary,Job Type,Description,Date Posted
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,N/A,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…","Employer
Active 4 days ago"
Pharmacy Assistant,Walmart Canada,"St. John's, NL",$15.30–$20.40 an hour,Full-time,"Clerical Organization, filing prescriptions, invoices, reports, correspondence and memos and completing any administrative support functions assigned (i.e.…   ","Posted
Posted 19 days ago"
House Cleaner - St John's,Maid Home Cleaning Services,"St. John's, NL",$20–$25 an hour,"Casual
+1",Love of cleaning and making customers’ homes beautiful. Own vehicle or reliable mode of transportation. You will be responsible for cleaning homes in your area.  ,"Employer
Active 4 days ago"
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,N/A,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ","Posted
Posted 30+ days ago"
inside sales representative,smith stockley ltd,"St. John's, NL","$40,000–$80,000 a year","Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ","Posted
Posted 4 days ago"
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",Full-time,N/A,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,"Posted
Posted 30+ days ago"
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",Full-time,N/A,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ","Posted
Posted 4 days ago"
barista,Mamattuk,"Happy Valley-Goose Bay, NL",$16.50–$17.50 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ","Posted
Posted 15 days ago"
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",$23.50 an hour,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,"Posted
Today"
Accounting Clerk II,NL Health Services,"St. John's, NL",$26 an hour,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,"Posted
Posted 6 days ago"
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",Full-time,"Weekends as needed
+1",Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,"Posted
Posted 30+ days ago"
Assistant Manager,Kent Building Supplies,"St. John's, NL",Full-time,N/A,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,"Employer
Active 4 days ago"
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…","Employer
Active 4 days ago"
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,Full-time,N/A,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…","Employer
Active 4 days ago"
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,N/A,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…","Employer
Active 4 days ago"
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,Part-time,N/A,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.","Employer
Active 4 days ago"
inside sales representative,smith stockley ltd,"St. John's, NL","$40,000–$80,000 a year","Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Experience: 5 years or more.   ","Posted
Posted 4 days ago"
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",Full-time,N/A,This position will also provide advisory services for parish-affiliated community holding companies. The successful candidate is an individual who is an…  ,"Posted
Posted 30+ days ago"
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",Full-time,N/A,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Job Title: Regional Settlement Coordinator.   ","Posted
Posted 4 days ago"
barista,Mamattuk,"Happy Valley-Goose Bay, NL",$16.50–$17.50 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ","Posted
Posted 15 days ago"
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",$23.50 an hour,"Full-time
+1",Education: Secondary (high) school graduation certificate. Hire and train or arrange for training of cleaning staff. Experience: 1 year to less than 2 years.  ,"Posted
Today"
Accounting Clerk II,NL Health Services,"St. John's, NL",$26 an hour,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…  ","Posted
Posted 6 days ago"
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",Full-time,"Weekends as needed
+1",Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,"Posted
Posted 30+ days ago"
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…","Employer
Active 4 days ago"
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,Part-time,N/A,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.","Employer
Active 4 days ago"
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,Full-time,N/A,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",Hiring ongoing
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,Full-time,N/A,"La première étape de l’instruction est le cours de qualification militaire de base ou instruction de base, qui est offert à l’École de leadership et de recrues…","Employer
Active 4 days ago"
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,N/A,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…","Employer
Active 4 days ago"
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,Full-time,N/A,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…","Employer
Active 4 days ago"
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,"Employer
Active 4 days ago"
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,Full-time,Rotating shift,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",Hiring ongoing
House Cleaner - St John's,Maid Home Cleaning Services,"St. John's, NL",$20–$25 an hour,"Casual
+1",Love of cleaning and making customers’ homes beautiful. Own vehicle or reliable mode of transportation. You will be responsible for cleaning homes in your area.  ,"Employer
Active 4 days ago"
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,N/A,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ","Posted
Posted 30+ days ago"
inside sales representative,smith stockley ltd,"St. John's, NL","$40,000–$80,000 a year","Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ","Posted
Posted 4 days ago"
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",Full-time,N/A,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,"Posted
Posted 30+ days ago"
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",Full-time,N/A,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ","Posted
Posted 4 days ago"
Painter - Flood/Fire Restoration,On Side Restoration,"St. John's, NL",$20.00–$22.50 an hour,"Full-time
+1","Valid driver’s licence and a clean criminal record (we do check). We also love that we’re able to provide an employee assistance program, *excellent health plan…","Employer
Active 4 days ago"
barista,Mamattuk,"Happy Valley-Goose Bay, NL",$16.50–$17.50 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ","Posted
Posted 15 days ago"
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",$23.50 an hour,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,"Posted
Today"
Accounting Clerk II,NL Health Services,"St. John's, NL",$26 an hour,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,"Posted
Posted 6 days ago"
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",Full-time,"Weekends as needed
+1",Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,"Posted
Posted 30+ days ago"
Assistant Manager,Kent Building Supplies,"St. John's, NL",Full-time,N/A,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,"Employer
Active 4 days ago"
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…","Employer
Active 4 days ago"
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,N/A,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…","Employer
Active 4 days ago"
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,Full-time,Rotating shift,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",Hiring ongoing
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,Full-time,N/A,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…","Employer
Active 4 days ago"
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,N/A,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ","Posted
Posted 30+ days ago"
inside sales representative,smith stockley ltd,"St. John's, NL","$40,000–$80,000 a year","Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ","Posted
Posted 4 days ago"
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",Full-time,N/A,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,"Posted
Posted 30+ days ago"
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",Full-time,N/A,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ","Posted
Posted 4 days ago"
barista,Mamattuk,"Happy Valley-Goose Bay, NL",$16.50–$17.50 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ","Posted
Posted 15 days ago"
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",$23.50 an hour,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,"Posted
Today"
Accounting Clerk II,NL Health Services,"St. John's, NL",$26 an hour,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,"Posted
Posted 6 days ago"
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",Full-time,"Weekends as needed
+1",Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,"Posted
Posted 30+ days ago"
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…","Employer
Active 4 days ago"
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,Full-time,N/A,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",Hiring ongoing
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,Full-time,N/A,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…","Employer
Active 4 days ago"
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,N/A,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…","Employer
Active 4 days ago"
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,Full-time,N/A,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…","Employer
Active 4 days ago"
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,"Employer
Active 4 days ago"
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,Full-time,Rotating shift,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",Hiring ongoing
inside sales representative,smith stockley ltd,"St. John's, NL","$40,000–$80,000 a year","Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ","Posted
Posted 4 days ago"
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",Full-time,N/A,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,"Posted
Posted 30+ days ago"
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",Full-time,N/A,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ","Posted
Posted 4 days ago"
Painter - Flood/Fire Restoration,On Side Restoration,"St. John's, NL",$20.00–$22.50 an hour,"Full-time
+1","Valid driver’s licence and a clean criminal record (we do check). We also love that we’re able to provide an employee assistance program, *excellent health plan…","Employer
Active 4 days ago"
barista,Mamattuk,"Happy Valley-Goose Bay, NL",$16.50–$17.50 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ","Posted
Posted 15 days ago"
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",$23.50 an hour,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,"Posted
Today"
Accounting Clerk II,NL Health Services,"St. John's, NL",$26 an hour,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,"Posted
Posted 6 days ago"
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",Full-time,"Weekends as needed
+1",Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,"Posted
Posted 30+ days ago"
Assistant Manager,Kent Building Supplies,"St. John's, NL",Full-time,N/A,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,"Employer
Active 4 days ago"
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…","Employer
Active 4 days ago"
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,Part-time,N/A,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.","Employer
Active 4 days ago"
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,Full-time,N/A,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",Hiring ongoing
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,N/A,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…","Employer
Active 4 days ago"
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,"Employer
Active 4 days ago"
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,Full-time,N/A,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…","Employer
Active 4 days ago"
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,N/A,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ","Posted
Posted 30+ days ago"
inside sales representative,smith stockley ltd,"St. John's, NL","$40,000–$80,000 a year","Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ","Posted
Posted 4 days ago"
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",Full-time,N/A,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,"Posted
Posted 30+ days ago"
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",Full-time,N/A,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ","Posted
Posted 4 days ago"
barista,Mamattuk,"Happy Valley-Goose Bay, NL",$16.50–$17.50 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ","Posted
Posted 15 days ago"
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",$23.50 an hour,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,"Posted
Today"
Accounting Clerk II,NL Health Services,"St. John's, NL",$26 an hour,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,"Posted
Posted 6 days ago"
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",Full-time,"Weekends as needed
+1",Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,"Posted
Posted 30+ days ago"
Assistant Manager,Kent Building Supplies,"St. John's, NL",Full-time,N/A,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,"Employer
Active 4 days ago"
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…","Employer
Active 4 days ago"
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,Full-time,N/A,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",Hiring ongoing
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,Full-time,N/A,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…","Employer
Active 4 days ago"
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,Full-time,N/A,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…","Employer
Active 4 days ago"
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,"Employer
Active 4 days ago"
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,N/A,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…","Employer
Active 4 days ago"
House Cleaner - St John's,Maid Home Cleaning Services,"St. John's, NL",$20–$25 an hour,"Casual
+1",Love of cleaning and making customers’ homes beautiful. Own vehicle or reliable mode of transportation. You will be responsible for cleaning homes in your area.  ,"Employer
Active 4 days ago"
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,N/A,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ","Posted
Posted 30+ days ago"
inside sales representative,smith stockley ltd,"St. John's, NL","$40,000–$80,000 a year","Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ","Posted
Posted 4 days ago"
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",Full-time,N/A,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,"Posted
Posted 30+ days ago"
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",Full-time,N/A,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ","Posted
Posted 4 days ago"
barista,Mamattuk,"Happy Valley-Goose Bay, NL",$16.50–$17.50 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ","Posted
Posted 15 days ago"
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",$23.50 an hour,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,"Posted
Today"
Accounting Clerk II,NL Health Services,"St. John's, NL",$26 an hour,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,"Posted
Posted 6 days ago"
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",Full-time,"Weekends as needed
+1",Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,"Posted
Posted 30+ days ago"
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…","Employer
Active 4 days ago"
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,Part-time,N/A,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.","Employer
Active 4 days ago"
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,Full-time,N/A,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…","Employer
Active 4 days ago"
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,Full-time,Rotating shift,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",Hiring ongoing
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,Weekends as needed,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,"Employer
Active 4 days ago"
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,N/A,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…","Employer
Active 4 days ago"
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,N/A,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ","Posted
Posted 30+ days ago"
inside sales representative,smith stockley ltd,"St. John's, NL","$40,000–$80,000 a year","Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Experience: 5 years or more.   ","Posted
Posted 4 days ago"
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",Full-time,N/A,This position will also provide advisory services for parish-affiliated community holding companies. The successful candidate is an individual who is an…  ,"Posted
Posted 30+ days ago"
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",Full-time,N/A,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Job Title: Regional Settlement Coordinator.   ","Posted
Posted 4 days ago"
barista,Mamattuk,"Happy Valley-Goose Bay, NL",$16.50–$17.50 an hour,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ","Posted
Posted 15 days ago"
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",$23.50 an hour,"Full-time
+1",Education: Secondary (high) school graduation certificate. Hire and train or arrange for training of cleaning staff. Experience: 1 year to less than 2 years.  ,"Posted
Today"
Accounting Clerk II,NL Health Services,"St. John's, NL",$26 an hour,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…  ","Posted
Posted 6 days ago"
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",Full-time,"Weekends as needed
+1",Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,"Posted
Posted 30+ days ago"
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,Part-time,N/A,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.","Employer
Active 4 days ago"
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,Full-time,N/A,"La première étape de l’instruction est le cours de qualification militaire de base ou instruction de base, qui est offert à l’École de leadership et de recrues…","Employer
Active 4 days ago"
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,N/A,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…","Employer
Active 4 days ago"
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,Full-time,Rotating shift,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",Hiring ongoing
Technicien / Technicienne de marine (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,Part-time,"Day shift
+1",Ils servent habituellement à temps partiel dans une division de la Réserve navale de leur communauté et à temps plein pour de courtes périodes de formation ou d…,Hiring ongoing
