Title,Company,Location,Salary,Job Type,Description,Date Posted
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",4
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,4
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ",30
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ",4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ",4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Spécialiste en renseignement d’origine électromagnétique,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de spécialiste en renseignement d’origine électromagnétique, visitez https://forces.ca/fr, parlez à un recruteur au…",4
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.",4
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Electronics Service Technician,BABB Security Systems,"St. John's, NL",N/A,,"Must possess a valid driver’s licence (driver’s abstract to be provided upon request). We are searching for a technician who can service, install, program,…  ",30
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Experience: 5 years or more.   ",4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,This position will also provide advisory services for parish-affiliated community holding companies. The successful candidate is an individual who is an…  ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Job Title: Regional Settlement Coordinator.   ",4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Education: Secondary (high) school graduation certificate. Hire and train or arrange for training of cleaning staff. Experience: 1 year to less than 2 years.  ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,"NL Health Services is responsible for delivering health and community services to more than 528,000 people living in Newfoundland and Labrador and employs over…  ",6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,We protect our customers and staff by hiring and training associates committed to our safety values. We are committed to the principle of equal opportunity in…,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"La première étape de l’instruction est le cours de qualification militaire de base ou instruction de base, qui est offert à l’École de leadership et de recrues…",4
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
inside sales representative,smith stockley ltd,"St. John's, NL",40.0,"Full-time
+1","Prepare sales, rental or leasing contracts and accept cash, cheque, credit card or automatic debit payment. Estimate or quote prices, credit or contract terms,…   ",4
Chief Financial Officer (CFO) -,Roman Catholic Archdiocese of St. John's,"St. John's, NL",N/A,Full-time,The successful candidate is an individual who is an experienced business professional with extensive experience in non-for-profit accounting and administration.  ,30
Regional Settlement Coordinator,Association for New Canadians,"Happy Valley-Goose Bay, NL",N/A,Full-time,"Provide linkages to the local community including volunteer, sports and community associations and local schools. Position Type: 1 full-time position.   ",4
barista,Mamattuk,"Happy Valley-Goose Bay, NL",16.5,"Full-time
+1","Education: No degree, certificate or diploma. Bring clean dishes, flatware and other items to serving areas and set tables. Stock refrigerators and salad bars.  ",15
housekeeping supervisor,Deer Lake Holdings Limited,"Deer Lake, NL",23.5,"Full-time
+1",Hire and train or arrange for training of cleaning staff. Recommend or arrange for additional maintenance services. Experience: 1 year to less than 2 years.  ,1
Accounting Clerk II,NL Health Services,"St. John's, NL",26.0,Full-time,Completion of a recognized/approved two-year Business Administration program* with a specialization in Accounting supplemented by one year of accounting…  ,6
IRATA Level 1 and Level 2 Rope Access Technicians,"Team Industrial Services, Inc.","Paradise, NL",N/A,Full-time,Valid driver’s license that is compliant with Company policy. Support business development whenever possible to help grow the business.   ,30
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",4
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,4
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",
Retail Supervisor,Value Village,"St. John's, NL",N/A,,"And, they continuously develop and empower their Team Members. Our training department / Savers University develops and delivers robust training to every team…   ",30
Site Superintendent,rcs Construction,"St. John's, NL",N/A,Full-time,"Red Seal, Gold Seal and/or CM Lean certification would be considered assets. Promote and maintain the rcs safety program “Safety First & Always” at all times.   ",25
Sales Representative,Parkway Hyundai,"Corner Brook, NL",N/A,Full-time,"Have a valid driver’s license and be able to provide an acceptable driver’s abstract. Schedule appointments for test drives, deliveries and ensure preparedness…   ",11
Safety Advisor - Regional,Newfoundland and Labrador Construction Safety...,"Gander, NL",1.0,Full-time,"It's crucial that you're well-versed in the Certificate of Recognition™ (COR™) Program, and being a WorkplaceNL certified instructor for training standards such…  ",7
Dish Washer/Delivery Driver,"Boston Pizza International, Inc.","St. John's, NL",N/A,,"Management Training Programs, Leadership Development conferences and access to dynamic mentorship programs and initiatives.   ",30
Plant Maintenance Technician,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,"The repair and service of equipment as per maintenance schedule. Reporting to the Plant Manager, the General Plant Maintenance Worker will be responsible for:   ",30
Spécialiste en renseignement d’origine électromagnétique,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de spécialiste en renseignement d’origine électromagnétique, visitez https://forces.ca/fr, parlez à un recruteur au…",4
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.",4
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Technicien / Technicienne de marine (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,Comme l’un des objectifs du cours est de veiller à ce que toutes les recrues répondent en tout temps à la norme d’aptitude physique des Forces armées…,
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,4
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",4
Sales Representative,Parkway Hyundai,"Corner Brook, NL",N/A,Full-time,"Have a valid driver’s license and be able to provide an acceptable driver’s abstract. Schedule appointments for test drives, deliveries and ensure preparedness…   ",11
Safety Advisor - Regional,Newfoundland and Labrador Construction Safety...,"Gander, NL",1.0,Full-time,"We're more than just an organization – we're a community dedicated to fostering a thriving workplace culture, and we're excited to offer a host of benefits that…  ",7
Dish Washer/Delivery Driver,"Boston Pizza International, Inc.","St. John's, NL",N/A,,"Build relationships and give back to your local community. We are committed to the development & growth of our team members, integrity, philanthropy and…   ",30
Plant Maintenance Technician,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,"Our company’s success is driven by our dynamic, highly-skilled and innovative management team, supported by dedicated employees who live in coastal communities…   ",30
"Early Childhood Educator, Level 2 (Maternity Leave Replacement)",YMCA of Newfoundland and Labrador,"St. John's, NL",45.0,Full-time,"To be employed in the field of early childhood education and to successfully fulfill field placement requirements, you must be able to lift and move children,…",4
Spécialiste en renseignement d’origine électromagnétique,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Si le candidat possède déjà un diplôme d’études collégiales ou universitaires, les FAC décideront si son programme de formation remplit les critères de…",4
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,We protect our customers and staff by hiring and training associates committed to our safety values. We are committed to the principle of equal opportunity in…,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"La première étape de l’instruction est le cours de qualification militaire de base ou instruction de base, qui est offert à l’École de leadership et de recrues…",4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",
Technicien / Technicienne de marine (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,Ils servent habituellement à temps partiel dans une division de la Réserve navale de leur communauté et à temps plein pour de courtes périodes de formation ou d…,
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,4
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",4
Site Superintendent,rcs Construction,"St. John's, NL",N/A,Full-time,"Red Seal, Gold Seal and/or CM Lean certification would be considered assets. Promote and maintain the rcs safety program “Safety First & Always” at all times.   ",25
Sales Representative,Parkway Hyundai,"Corner Brook, NL",N/A,Full-time,"Have a valid driver’s license and be able to provide an acceptable driver’s abstract. Schedule appointments for test drives, deliveries and ensure preparedness…   ",11
Safety Advisor - Regional,Newfoundland and Labrador Construction Safety...,"Gander, NL",1.0,Full-time,"We're more than just an organization – we're a community dedicated to fostering a thriving workplace culture, and we're excited to offer a host of benefits that…  ",7
Dish Washer/Delivery Driver,"Boston Pizza International, Inc.","St. John's, NL",N/A,,"Build relationships and give back to your local community. We are committed to the development & growth of our team members, integrity, philanthropy and…   ",30
Plant Maintenance Technician,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,"Our company’s success is driven by our dynamic, highly-skilled and innovative management team, supported by dedicated employees who live in coastal communities…   ",30
"Early Childhood Educator, Level 2 (Maternity Leave Replacement)",YMCA of Newfoundland and Labrador,"St. John's, NL",45.0,Full-time,"To be employed in the field of early childhood education and to successfully fulfill field placement requirements, you must be able to lift and move children,…",4
Spécialiste en renseignement d’origine électromagnétique,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Si le candidat possède déjà un diplôme d’études collégiales ou universitaires, les FAC décideront si son programme de formation remplit les critères de…",4
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,We protect our customers and staff by hiring and training associates committed to our safety values. We are committed to the principle of equal opportunity in…,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"La première étape de l’instruction est le cours de qualification militaire de base ou instruction de base, qui est offert à l’École de leadership et de recrues…",4
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,L’un des objectifs du cours est de veiller à ce que toutes les recrues répondent à la norme d’aptitude physique des Forces armées canadiennes (FAC); l…,4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Site Superintendent,rcs Construction,"St. John's, NL",N/A,Full-time,"Red Seal, Gold Seal and/or CM Lean certification would be considered assets. Promote and maintain the rcs safety program “Safety First & Always” at all times.   ",25
Sales Representative,Parkway Hyundai,"Corner Brook, NL",N/A,Full-time,"Have a valid driver’s license and be able to provide an acceptable driver’s abstract. Schedule appointments for test drives, deliveries and ensure preparedness…   ",11
Safety Advisor - Regional,Newfoundland and Labrador Construction Safety...,"Gander, NL",1.0,Full-time,"It's crucial that you're well-versed in the Certificate of Recognition™ (COR™) Program, and being a WorkplaceNL certified instructor for training standards such…  ",7
Dish Washer/Delivery Driver,"Boston Pizza International, Inc.","St. John's, NL",N/A,,"Management Training Programs, Leadership Development conferences and access to dynamic mentorship programs and initiatives.   ",30
Plant Maintenance Technician,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,"The repair and service of equipment as per maintenance schedule. Reporting to the Plant Manager, the General Plant Maintenance Worker will be responsible for:   ",30
Store Manager,Synergie Hunt International,"Springdale, NL",1.0,Full-time,In this role you will manage a busy retail store. You have strong leadership skills. You have at least 5 years of retail experience with a minimum of 2 years in…,4
Painter - Flood/Fire Restoration,On Side Restoration,"St. John's, NL",20.0,"Full-time
+1","Valid driver’s licence and a clean criminal record (we do check). We also love that we’re able to provide an employee assistance program, *excellent health plan…",4
Spécialiste en renseignement d’origine électromagnétique,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de spécialiste en renseignement d’origine électromagnétique, visitez https://forces.ca/fr, parlez à un recruteur au…",4
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",4
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Early Childhood Educator,Kids Kampus Paradise,"Paradise, NL",16.5,"Full-time
+1",The successful candidates will have a strong focus on quality care and the drive to develop relationship with children and families.   ,3
Kitchen Support Associate,fruitfull creations,"Gander, NL",15.0,Full-time,"Must be willing to learn all aspects of the store which include taking orders, cutting fruit, preparing/assembling fruit arrangements and platters, stocking…  ",1
Retail Supervisor,Value Village,"St. John's, NL",N/A,,"And, they continuously develop and empower their Team Members. Our training department / Savers University develops and delivers robust training to every team…   ",30
Site Superintendent,rcs Construction,"St. John's, NL",N/A,Full-time,"Red Seal, Gold Seal and/or CM Lean certification would be considered assets. Promote and maintain the rcs safety program “Safety First & Always” at all times.   ",25
Sales Representative,Parkway Hyundai,"Corner Brook, NL",N/A,Full-time,"Have a valid driver’s license and be able to provide an acceptable driver’s abstract. Schedule appointments for test drives, deliveries and ensure preparedness…   ",11
Safety Advisor - Regional,Newfoundland and Labrador Construction Safety...,"Gander, NL",1.0,Full-time,"It's crucial that you're well-versed in the Certificate of Recognition™ (COR™) Program, and being a WorkplaceNL certified instructor for training standards such…  ",7
Dish Washer/Delivery Driver,"Boston Pizza International, Inc.","St. John's, NL",N/A,,"Management Training Programs, Leadership Development conferences and access to dynamic mentorship programs and initiatives.   ",30
Plant Maintenance Technician,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,"The repair and service of equipment as per maintenance schedule. Reporting to the Plant Manager, the General Plant Maintenance Worker will be responsible for:   ",30
Spécialiste en renseignement d’origine électromagnétique,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de spécialiste en renseignement d’origine électromagnétique, visitez https://forces.ca/fr, parlez à un recruteur au…",4
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.",4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Early Childhood Educator,Kids Kampus Paradise,"Paradise, NL",16.5,"Full-time
+1",The successful candidates will have a strong focus on quality care and the drive to develop relationship with children and families.   ,3
Kitchen Support Associate,fruitfull creations,"Gander, NL",15.0,Full-time,"Must be willing to learn all aspects of the store which include taking orders, cutting fruit, preparing/assembling fruit arrangements and platters, stocking…  ",1
Retail Supervisor,Value Village,"St. John's, NL",N/A,,"And, they continuously develop and empower their Team Members. Our training department / Savers University develops and delivers robust training to every team…   ",30
Site Superintendent,rcs Construction,"St. John's, NL",N/A,Full-time,"Red Seal, Gold Seal and/or CM Lean certification would be considered assets. Promote and maintain the rcs safety program “Safety First & Always” at all times.   ",25
Sales Representative,Parkway Hyundai,"Corner Brook, NL",N/A,Full-time,"Have a valid driver’s license and be able to provide an acceptable driver’s abstract. Schedule appointments for test drives, deliveries and ensure preparedness…   ",11
Safety Advisor - Regional,Newfoundland and Labrador Construction Safety...,"Gander, NL",1.0,Full-time,"It's crucial that you're well-versed in the Certificate of Recognition™ (COR™) Program, and being a WorkplaceNL certified instructor for training standards such…  ",7
Dish Washer/Delivery Driver,"Boston Pizza International, Inc.","St. John's, NL",N/A,,"Management Training Programs, Leadership Development conferences and access to dynamic mentorship programs and initiatives.   ",30
Plant Maintenance Technician,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,"The repair and service of equipment as per maintenance schedule. Reporting to the Plant Manager, the General Plant Maintenance Worker will be responsible for:   ",30
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
